user_id,Gender,Age,EstimatedSalary,purchased
6,M,49,65893,1
1,M,62,38750,0
7,F,36,115259,0
9,F,18,142210,1
1,M,58,96538,0
7,M,58,51014,1
9,M,26,86930,0
1,M,43,84038,0
9,F,45,132573,1
6,F,41,86522,0
9,F,34,109960,0
2,M,52,80191,1
3,F,61,48088,0
7,M,21,117702,1
6,F,22,145945,0
7,F,41,36250,0
2,F,54,142719,1
5,M,61,49811,1
4,F,21,30081,1
8,M,63,51705,0
7,F,58,131599,0
1,F,28,125704,1
2,F,33,102782,1
1,M,36,45142,1
8,F,37,143781,0
7,M,55,70027,1
1,M,38,67617,0
3,F,50,31686,0
9,F,51,139628,1
6,M,20,48651,0
5,M,34,127836,1
7,M,21,45666,0
1,F,36,59139,1
5,F,57,61746,0
7,F,37,64444,1
4,M,35,134681,0
5,F,53,110546,1
7,M,24,43687,0
4,F,56,132483,0
6,F,63,62182,0
3,M,63,126467,1
6,F,58,95106,1
3,M,31,140018,0
6,F,60,59360,1
8,M,41,60350,1
1,F,28,80693,0
7,M,48,133223,1
7,F,29,61220,0
3,F,45,74356,0
3,M,44,24884,0
5,M,64,101253,1
3,F,26,124004,1
4,M,32,64254,0
4,F,49,41911,1
2,F,40,126252,1
1,F,40,20693,0
5,F,57,90790,0
4,M,64,24928,1
7,F,46,69978,0
3,M,33,21614,1
2,F,57,24609,1
1,M,29,74714,0
6,F,51,89659,0
7,F,51,95156,0
7,F,34,90695,1
3,F,34,129067,1
9,M,53,21597,0
6,F,30,104725,0
7,M,52,119270,1
3,F,47,103484,0
1,F,48,33484,0
3,M,62,122980,1
9,M,49,109348,1
7,M,46,55354,0
7,M,24,79770,0
1,M,39,51464,0
6,F,22,56102,0
1,M,63,22189,0
4,M,29,53632,1
3,F,21,51052,0
9,M,43,144739,1
4,F,51,99548,1
5,F,40,71182,1
1,M,60,27174,0
7,F,59,104785,1
8,F,47,56929,1
9,F,37,143439,1
7,M,54,134659,0
9,M,32,50359,0
2,F,49,72691,1
3,M,38,44005,0
7,F,22,28737,1
3,F,24,41991,0
1,M,39,130884,1
2,F,28,112012,0
7,F,39,135093,1
7,F,32,46503,0
7,M,24,69183,0
9,F,26,102755,0
5,M,64,78845,0
