Year,Month,Interest_Rate,Unemployment_Rate,Index_Price
2012,6,0.59,11.25,3733.13
2015,6,1.86,5.59,3782.5
2021,1,3.47,14.37,2134.08
2000,2,1.81,11.77,2519.71
2003,6,3.28,6.05,1724.6
2003,10,2.43,5.56,4154.18
2007,4,1.11,9.22,1227.39
2009,1,1.84,3.31,3787.99
2019,6,3.06,5.49,4114.78
2021,1,3.16,8.1,4109.63
2018,2,3.08,7.49,2037.69
2004,3,3.44,8.56,2495.25
2023,5,3.43,6.33,3350.4
2006,3,2.44,10.04,2091.29
2012,1,4.53,13.37,2483.41
2001,4,2.15,4.41,1788.22
2006,3,2.46,9.21,2839.42
2007,11,4.51,4.58,1178.45
2023,1,4.13,11.6,4199.18
2014,8,3.67,7.75,1307.83
2017,6,0.95,9.79,3075.34
2005,10,4.64,5.2,2227.24
2013,1,3.71,4.74,3310.17
2008,11,4.99,8.86,4837.73
2009,3,1.17,7.27,3582.28
2020,12,4.41,14.29,1141.45
2019,11,1.23,12.18,2721.61
2016,8,3.27,11.98,3040.07
2019,12,1.06,13.84,3144.71
2005,3,4.32,4.0,3725.57
2015,10,4.13,9.63,2110.38
2015,3,3.06,10.01,1515.44
2000,4,2.33,14.54,2570.7
2018,12,0.81,6.51,4825.62
2003,4,3.64,5.89,1748.52
2017,3,2.54,4.2,4615.94
2019,4,3.75,3.2,3175.22
2019,5,4.4,14.15,2827.65
2019,2,4.89,11.04,4528.17
2014,3,4.35,12.42,2834.42
2007,12,0.55,6.38,3896.67
2000,10,2.12,10.04,2596.1
2001,11,3.78,3.77,4616.18
2009,2,1.27,8.83,3760.1
2000,5,2.84,14.73,3798.49
2010,11,0.74,13.52,2310.88
2020,7,1.4,7.06,4027.11
2023,12,0.58,14.54,3544.24
2003,9,4.07,5.78,1960.08
2011,12,1.51,14.39,1642.16
2018,3,2.05,14.3,4185.57
2023,4,4.68,12.59,4836.67
2002,1,3.67,10.57,2832.56
2000,1,0.64,13.49,3363.94
2000,7,1.24,6.52,4430.89
2004,1,3.3,13.19,2828.89
2021,7,3.1,10.41,4807.5
2005,4,1.57,3.16,3303.0
2006,11,4.7,7.17,4283.07
2008,4,3.26,4.78,4635.37
2020,9,2.91,14.78,4262.1
2017,9,3.15,8.74,1637.66
2015,9,3.79,8.97,3515.59
2004,3,1.9,10.67,2593.74
2009,4,2.29,7.42,1250.85
2010,3,1.44,4.64,2696.13
2001,12,1.34,12.87,2034.74
2001,1,4.75,5.28,4396.15
2007,9,3.83,9.14,1133.22
2009,9,2.71,5.69,4835.93
2003,4,1.52,4.17,2421.48
2006,9,1.64,13.35,2426.83
2023,11,0.76,14.68,1065.31
2011,3,2.45,14.53,1740.93
2014,9,1.9,13.88,2605.04
2018,5,3.63,12.29,4717.17
2000,4,2.2,7.0,1398.46
2014,1,1.31,3.97,4781.21
2003,5,0.61,7.89,4477.95
2021,4,0.8,5.79,2816.65
2012,12,3.56,4.59,2306.8
2010,7,2.54,3.64,1930.98
2020,10,2.91,11.71,3457.86
2011,12,4.54,3.14,1132.3
2004,9,4.96,12.25,1062.42
2006,1,1.48,4.76,2715.18
2004,9,3.48,3.95,1272.3
2015,6,1.68,4.08,2007.76
2020,10,0.59,11.06,1884.64
2003,1,3.91,5.94,2012.76
2012,10,1.94,8.05,1524.22
2004,7,2.23,9.69,1048.14
2020,6,3.15,13.33,1461.94
2008,4,4.24,11.72,3473.92
2014,2,3.33,6.24,4897.02
2015,9,4.43,4.58,4961.38
2020,1,1.73,3.66,2636.22
2003,5,4.09,6.62,1651.82
2023,12,1.34,6.15,3555.05
2015,12,4.79,8.47,2961.22
